docket_page_link,Protestor,Solicitation Number,Agency,File number,Outcome,Decision Date,Filed Date,Due Date,Case Type,GAO Attorney,Decision Summary,Decision Highlight
https://www.gao.gov/docket/b-419934.2,"Midnight Sun-Centennial Kirratchiaq JV, LLC",FA441821R0001,Department of the Air Force,B-419934.2,Denied,"Oct 4, 2021","Jul 12, 2021","Oct 20, 2021",Bid Protest,Sarah T. Zaffina,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419934.3,"Midnight Sun-Centennial Kirratchiaq JV, LLC",FA441821R0001,Department of the Air Force,B-419934.3,Denied,"Oct 4, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Sarah T. Zaffina,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420122.1,"J.E. Federal Enterprises, LLC",36C25022Q0002,Department of Veterans Affairs,B-420122.1,Dismissed,"Oct 4, 2021","Aug 31, 2021","Dec 9, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-420126.1,"KTS Solutions, Inc.",36C24821R0117,Department of Veterans Affairs,B-420126.1,Withdrawn,"Oct 4, 2021","Sep 3, 2021","Dec 13, 2021",Bid Protest,Paula A. Williams,,
https://www.gao.gov/docket/b-419708.2,"CTR Management Group, LLC",15DDHQ20R00000011,Department of Justice : Drug Enforcement Administration,B-419708.2,Dismissed,"Oct 4, 2021","Jul 2, 2021","Oct 12, 2021",Bid Protest,Evan D. Wesser,,
https://www.gao.gov/docket/b-419934.1,"Midnight Sun-Centennial Kirratchiaq JV, LLC",FA441821R0001,Department of the Air Force,B-419934.1,Denied,"Oct 4, 2021","Jun 24, 2021","Oct 4, 2021",Bid Protest,Sarah T. Zaffina,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419968.2,"Ruchman and Associates, Inc.",70US0920Q70090079,Department of Homeland Security : United States Secret Service,B-419968.2,Dismissed,"Oct 1, 2021","Sep 13, 2021","Dec 22, 2021",Bid Protest,Heather Weiner,,
https://www.gao.gov/docket/b-419968.1,"Ruchman and Associates, Inc.",70US0920Q70090079,Department of Homeland Security : United States Secret Service,B-419968.1,Dismissed,"Oct 1, 2021","Jul 8, 2021","Oct 18, 2021",Bid Protest,Heather Weiner,,
https://www.gao.gov/docket/b-419956.8,Tata America International Corporation,75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.8,Denied,"Oct 1, 2021","Jul 15, 2021","Oct 25, 2021",Bid Protest,Jonathan L. Kang,B-419956.8,"https://www.gao.gov/products/b-419956.8
Highlights


Tata America International Corporation (TAIC), of New York, New York, protests the terms of solicitation No. 75N98121R00001, which was issued by the Department of Health and Human Services, National Institutes of Health (NIH), for the award of multiple indefinite-delivery, indefinite-quantity (IDIQ) governmentwide acquisition contracts (GWACs) for information technology services, known as Chief Information Officer-Solutions and Partners (CIO-SP4). The protester argues that the solicitation's corporate experience requirements, which require offerors to identify their customers, are unduly restrictive of competition because certain of the commercial contracts the protester wishes to cite in its proposal contain confidentiality provisions that prohibit disclosure of the information required by the request for proposals (RFP).


        We deny the protest."
https://www.gao.gov/docket/b-420113.1,"The Atlantic Group, LLC",140G0220R0003,Department of the Interior : Geological Survey,B-420113.1,Dismissed,"Oct 1, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Heather Self,,
https://www.gao.gov/docket/b-420147.1,"Alcatraz Island Services, LLC",140P8621Q0058,Department of the Interior : National Park Service,B-420147.1,Dismissed,"Oct 1, 2021","Sep 9, 2021","Dec 20, 2021",Bid Protest,Kasia Dourney,,
https://www.gao.gov/docket/b-420105.2,Intellectix Corporation,N/A,Department of Justice : Drug Enforcement Administration,B-420105.2,Dismissed,"Oct 1, 2021","Sep 3, 2021","Dec 13, 2021",Bid Protest,Michael P. Grogan,,
https://www.gao.gov/docket/b-420105.3,Intellectix Corporation,N/A,Department of Justice : Drug Enforcement Administration,B-420105.3,Dismissed,"Oct 1, 2021","Sep 17, 2021","Dec 27, 2021",Bid Protest,Michael P. Grogan,,
https://www.gao.gov/docket/b-420145.1,"Total Control Training, Inc.",W9127821R0035,Department of the Army : Corps of Engineers,B-420145.1,Withdrawn,"Oct 1, 2021","Sep 9, 2021","Dec 20, 2021",Bid Protest,Katherine I. Riback,,
https://www.gao.gov/docket/b-420105.1,Intellectix Corporation,N/A,Department of Justice : Drug Enforcement Administration,B-420105.1,Dismissed,"Oct 1, 2021","Aug 27, 2021","Dec 6, 2021",Bid Protest,Michael P. Grogan,,
https://www.gao.gov/docket/b-418742.3,"Amentum Services, Inc.",W52P1J-19-R-0081,Department of the Army : U.S. Army Materiel Command,B-418742.3,Denied,"Sep 30, 2021","Jun 28, 2021","Oct 6, 2021",Bid Protest,U R. Yoo,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-418742.4,"VS2, LLC",W52P1J-19-R-0081,Department of the Army : U.S. Army Materiel Command,B-418742.4,Denied,"Sep 30, 2021","Jun 28, 2021","Oct 6, 2021",Bid Protest,U R. Yoo,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
