docket_page_link,Protestor,Solicitation Number,Agency,File number,Outcome,Decision Date,Filed Date,Due Date,Case Type,GAO Attorney,Decision Summary
https://www.gao.gov/docket/b-420002.1,First American Business Solutions,W91RUS21R0078,Department of the Army : U.S. Army Materiel Command,B-420002.1,Denied,"Sep 29, 2021","Jul 21, 2021","Oct 29, 2021",Bid Protest,Emily R. O'Hara,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-420117.1,Centuria Corporation,80KSC021Q0007,Independent Agencies and Govt Corporations : National Aeronautics and Space Administration,B-420117.1,Dismissed,"Sep 29, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Hannah G. Barnes,
https://www.gao.gov/docket/b-420125.1,"Pitney Bowes, Inc.",RFQ1503994,Department of the Army,B-420125.1,Dismissed,"Sep 29, 2021","Sep 2, 2021","Dec 13, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-420164.1,"Hawk Contracting Group, LLC",36C77621R0149,Department of Veterans Affairs,B-420164.1,Dismissed,"Sep 29, 2021","Sep 17, 2021","Dec 27, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-420102.1,"Facility Services Management, Inc.",W912DY21FXXXX,Department of the Army : Corps of Engineers,B-420102.1,Dismissed,"Sep 28, 2021","Aug 27, 2021","Dec 6, 2021",Bid Protest,Katherine I. Riback,
https://www.gao.gov/docket/b-420146.1,"Crest Security Assurance, LLC",70RCSA21Q0000030,Department of Homeland Security,B-420146.1,Withdrawn,"Sep 28, 2021","Sep 9, 2021","Dec 20, 2021",Bid Protest,Paul N. Wengert,
https://www.gao.gov/docket/b-420049.4,Sciolex Corporation,70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.4,Dismissed,"Sep 28, 2021","Sep 20, 2021","Dec 29, 2021",Bid Protest,Louis A. Chiarella,
https://www.gao.gov/docket/b-420172.1,"Deloitte Consulting, LLP",W912DY-21-R-0010,Department of the Army : Corps of Engineers,B-420172.1,Dismissed,"Sep 28, 2021","Sep 20, 2021","Dec 29, 2021",Bid Protest,Edward Goldstein,
https://www.gao.gov/docket/b-420166.1,Patrona Corporation,N66604-19-R-3502-0003,Department of the Navy : Naval Sea Systems Command,B-420166.1,Dismissed,"Sep 28, 2021","Sep 17, 2021","Dec 27, 2021",Bid Protest,David A. Edelstein,
https://www.gao.gov/docket/b-420102.2,"Facility Services Management, Inc.",W912DY21FXXXX,Department of the Army : Corps of Engineers,B-420102.2,Dismissed,"Sep 28, 2021","Sep 2, 2021","Dec 13, 2021",Bid Protest,Katherine I. Riback,
https://www.gao.gov/docket/b-420049.2,Sciolex Corporation,70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.2,Dismissed,"Sep 28, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Louis A. Chiarella,
https://www.gao.gov/docket/b-420082.1,"O'Gara-Hess & Eisenhardt Armoring Company, LLC",70QXXX21R00000002,Department of Homeland Security,B-420082.1,Withdrawn,"Sep 28, 2021","Aug 16, 2021","Nov 24, 2021",Bid Protest,Christopher Alwood,
https://www.gao.gov/docket/b-419833.2,"Coast to Coast Computer Products, Inc.",FA8055-21-R-0001,Department of the Air Force,B-419833.2,Denied,"Sep 28, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Charmaine Stevenson,B-419833.2
