crawl_time,docket_type,docket_page_link,Protestor,Solicitation Number,Agency,File number,Status,Filed Date,Due Date,Case Type,GAO Attorney,Outcome,Decision Date,Decision link,Decision Highlight
2021-10-07 10:47:14,open,https://www.gao.gov/docket/b-420049.7,"HeiTech-PAE, LLC",70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.7,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Peter H. Tran,,,,
2021-10-07 10:47:16,open,https://www.gao.gov/docket/b-420221.1,"EM Key Solutions, Inc.",36C10B21Q0324,Department of Veterans Affairs,B-420221.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Christina Sklarew,,,,
2021-10-07 10:47:17,open,https://www.gao.gov/docket/b-420224.1,"L2 Defense, Inc.",M00264-21-R-0009,Department of Defense : United States Marine Corps,B-420224.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Jennifer D. Westfall-McGrail,,,,
2021-10-07 10:47:19,open,https://www.gao.gov/docket/b-420225.1,Dragonfly Pictures Inc,FA3099-21-P-0030,Department of the Air Force,B-420225.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Katherine I. Riback,,,,
2021-10-07 10:47:21,open,https://www.gao.gov/docket/b-420227.1,Magnum Multimedia,,Department of Labor,B-420227.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Christina Sklarew,,,,
2021-10-07 10:47:23,open,https://www.gao.gov/docket/b-420222.1,"Basic Concepts, Inc.",SPE4A7-21-T-709J,Department of Defense : Defense Logistics Agency,B-420222.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Christine Milne,,,,
2021-10-07 10:47:25,open,https://www.gao.gov/docket/b-420220.1,Nexsys Electronics Inc-  dba Medweb,HT005020R0063,Department of Defense : Defense Health Agency,B-420220.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,John Sorrenti,,,,
2021-10-07 10:47:26,open,https://www.gao.gov/docket/b-419890.3,"MetroStar Systems, Inc.",632000295-WHSSS-PITSC,Department of Defense : Defense Information Systems Agency,B-419890.3,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Peter H. Tran,,,,
2021-10-07 10:47:27,open,https://www.gao.gov/docket/b-420223.1,"Applied Sciences & Information Systems, Inc.",140F0921R0009,Department of the Interior : United States Fish and Wildlife Service,B-420223.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Edward Goldstein,,,,
2021-10-07 10:47:28,open,https://www.gao.gov/docket/b-420226.1,"Operations Services, Inc.",SP3300-20-R-5005,Department of Defense : Defense Logistics Agency,B-420226.1,Case Currently Open,"Oct 4, 2021","Jan 12, 2022",Bid Protest,Edward Goldstein,,,,
2021-10-07 10:47:30,open,https://www.gao.gov/docket/b-420216.1,Science and Technology Corporation,1305M321QNWWX0061,Department of Commerce : National Oceanic and Atmospheric Administration,B-420216.1,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Louis A. Chiarella,,,,
2021-10-07 10:47:31,open,https://www.gao.gov/docket/b-420217.1,Monbo Group International,Not Applicable,Department of Housing and Urban Development,B-420217.1,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Emily R. O'Hara,,,,
