Capacity(GB),Finish,product_code,Model,carrier_code
128GB,Midnight,MLHM3LL/A,iphone13 mini,ATT_IPHONE13
256GB,Midnight,MLHT3LL/A,iphone13 mini,ATT_IPHONE13
512GB,Midnight,MLHY3LL/A,iphone13 mini,ATT_IPHONE13
128GB,Blue,MLHR3LL/A,iphone13 mini,ATT_IPHONE13
256GB,Blue,MLHX3LL/A,iphone13 mini,ATT_IPHONE13
512GB,Blue,MLJ33LL/A,iphone13 mini,ATT_IPHONE13
128GB,Pink,MLHP3LL/A,iphone13 mini,ATT_IPHONE13
256GB,Pink,MLHV3LL/A,iphone13 mini,ATT_IPHONE13
512GB,Pink,MLJ13LL/A,iphone13 mini,ATT_IPHONE13
128GB,Starlight,MLHN3LL/A,iphone13 mini,ATT_IPHONE13
256GB,Starlight,MLHU3LL/A,iphone13 mini,ATT_IPHONE13
512GB,Starlight,MLJ03LL/A,iphone13 mini,ATT_IPHONE13
128GB,(PRODUCT)RED,MLHQ3LL/A,iphone13 mini,ATT_IPHONE13
256GB,(PRODUCT)RED,MLHW3LL/A,iphone13 mini,ATT_IPHONE13
512GB,(PRODUCT)RED,MLJ23LL/A,iphone13 mini,ATT_IPHONE13
128GB,Midnight,MLML3LL/A,iphone 13,ATT_IPHONE13
256GB,Midnight,MLMU3LL/A,iphone 13,ATT_IPHONE13
512GB,Midnight,MLN23LL/A,iphone 13,ATT_IPHONE13
128GB,Blue,MLMT3LL/A,iphone 13,ATT_IPHONE13
256GB,Blue,MLN13LL/A,iphone 13,ATT_IPHONE13
512GB,Blue,MLN83LL/A,iphone 13,ATT_IPHONE13
128GB,Pink,MLMN3LL/A,iphone 13,ATT_IPHONE13
256GB,Pink,MLMY3LL/A,iphone 13,ATT_IPHONE13
512GB,Pink,MLN43LL/A,iphone 13,ATT_IPHONE13
128GB,Starlight,MLMM3LL/A,iphone 13,ATT_IPHONE13
256GB,Starlight,MLMX3LL/A,iphone 13,ATT_IPHONE13
512GB,Starlight,MLN33LL/A,iphone 13,ATT_IPHONE13
128GB,(PRODUCT)RED,MLMQ3LL/A,iphone 13,ATT_IPHONE13
256GB,(PRODUCT)RED,MLN03LL/A,iphone 13,ATT_IPHONE13
512GB,(PRODUCT)RED,MLN53LL/A,iphone 13,ATT_IPHONE13
128GB,Sierra Blue,MLTT3LL/A,iphone 13 Pro,ATT_IPHONE13PRO
